Dependency=Template Month	Dependency=Template Year	Dependency=clothes_dryer_fuel_type	clothes_dryer_present	clothes_dryer_efficiency	Source
				lb/kWh	
Sep	2020	electricity	true	3.93	"ResStock ""Electric, Premium, EnergyStar 100% Usage"""
Sep	2020	natural gas	true	3.03	"ResStock ""Gas, Premium, 100% Usage"""
Sep	2020	fuel oil	true	3.03	Engineering judgment
Sep	2020	propane	true	3.03	Engineering judgment
Sep	2020	wood	true	3.03	Engineering judgment
Apr	2022	electricity	false	3.93	No Appliance
Apr	2022	natural gas	false	3.03	No Appliance
Apr	2022	fuel oil	false	3.03	No Appliance
Apr	2022	propane	false	3.03	No Appliance
Apr	2022	wood	false	3.03	No Appliance
