Dependency=Climate Zone	Dependency=Template Month	Dependency=Template Year	Dependency=cooling_system_type	cooling_system_cooling_efficiency_type	cooling_system_cooling_efficiency	Source
						
1A	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
1B	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
1C	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
2A	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
2B	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
2C	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
3A	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
3B	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
3C	Sep	2020	central air conditioner	SEER	15	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
4A	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
4B	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
4C	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
5A	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
5B	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
5C	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
6A	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
6B	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
6C	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
7	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
8	Sep	2020	central air conditioner	SEER	13	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
1A	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
1B	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
1C	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
2A	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
2B	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
2C	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
3A	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
3B	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
3C	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
4A	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
4B	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
4C	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
5A	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
5B	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
5C	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
6A	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
6B	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
6C	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
7	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
8	Sep	2020	room air conditioner	EER	8.5	"ResStock ""Room AC, EER 8.5"""
