Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=major_elec_load_count,Dependency=panel_capacity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
single-family attached,4000+,7,<100,0.374428,0.175759,0.144247,0.10546,0.072378,0.047728,0.030618,0.01925,0.011918,0.007289,0.004415,0.002652,0.001583,0.000939,0.000554,0.000326,0.000191,0.000111,6.5e-05,3.8e-05,2.2e-05,1.3e-05,7e-06,4e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
single-family attached,4000+,7,201+,0.377424,0.109719,0.107601,0.094004,0.077093,0.060747,0.046567,0.034984,0.025881,0.018916,0.01369,0.009828,0.007008,0.004968,0.003504,0.002461,0.001722,0.001201,0.000835,0.000579,0.0004,0.000276,0.00019,0.000131,9e-05,6.1e-05,4.2e-05,2.9e-05,2e-05,1.3e-05,9e-06,6e-06
single-family attached,4000+,7,200,0.299644,0.104081,0.107008,0.098008,0.084263,0.069609,0.055941,0.044059,0.034171,0.026183,0.019866,0.014952,0.011177,0.008306,0.006143,0.004523,0.003317,0.002425,0.001767,0.001285,0.000931,0.000674,0.000487,0.000351,0.000252,0.000181,0.00013,9.3e-05,6.7e-05,4.8e-05,3.4e-05,2.4e-05
single-family attached,4000+,7,126-199,0.408419,0.129497,0.118151,0.09603,0.073268,0.053712,0.038305,0.026773,0.018427,0.01253,0.008436,0.005635,0.003738,0.002465,0.001618,0.001057,0.000688,0.000446,0.000289,0.000186,0.00012,7.7e-05,4.9e-05,3.2e-05,2e-05,1.3e-05,8e-06,5e-06,3e-06,2e-06,1e-06,1e-06
single-family attached,4000+,7,125,0.408419,0.129497,0.118151,0.09603,0.073268,0.053712,0.038305,0.026773,0.018427,0.01253,0.008436,0.005635,0.003738,0.002465,0.001618,0.001057,0.000688,0.000446,0.000289,0.000186,0.00012,7.7e-05,4.9e-05,3.2e-05,2e-05,1.3e-05,8e-06,5e-06,3e-06,2e-06,1e-06,1e-06
single-family attached,4000+,7,101-124,0.408419,0.129497,0.118151,0.09603,0.073268,0.053712,0.038305,0.026773,0.018427,0.01253,0.008436,0.005635,0.003738,0.002465,0.001618,0.001057,0.000688,0.000446,0.000289,0.000186,0.00012,7.7e-05,4.9e-05,3.2e-05,2e-05,1.3e-05,8e-06,5e-06,3e-06,2e-06,1e-06,1e-06
single-family attached,4000+,7,100,0.374428,0.175759,0.144247,0.10546,0.072378,0.047728,0.030618,0.01925,0.011918,0.007289,0.004415,0.002652,0.001583,0.000939,0.000554,0.000326,0.000191,0.000111,6.5e-05,3.8e-05,2.2e-05,1.3e-05,7e-06,4e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
single-family attached,4000+,6,<100,0.378756,0.166536,0.139747,0.104465,0.073305,0.049425,0.032419,0.02084,0.013192,0.00825,0.005109,0.003138,0.001915,0.001161,0.000701,0.000421,0.000252,0.00015,9e-05,5.3e-05,3.1e-05,1.9e-05,1.1e-05,6e-06,4e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
single-family attached,4000+,6,201+,0.38964,0.10153,0.10126,0.089966,0.075033,0.060128,0.046875,0.035813,0.026944,0.020027,0.014741,0.010762,0.007804,0.005626,0.004036,0.002883,0.002051,0.001454,0.001028,0.000725,0.00051,0.000358,0.000251,0.000175,0.000122,8.5e-05,5.9e-05,4.1e-05,2.9e-05,2e-05,1.4e-05,9e-06
single-family attached,4000+,6,200,0.309725,0.096504,0.100743,0.093686,0.081785,0.0686,0.055976,0.044764,0.035252,0.027426,0.021129,0.016146,0.012255,0.009248,0.006944,0.005191,0.003866,0.00287,0.002124,0.001567,0.001154,0.000848,0.000621,0.000455,0.000332,0.000242,0.000176,0.000128,9.3e-05,6.8e-05,4.9e-05,3.5e-05
