Dependency=ASHRAE IECC Climate Zone 2004 - Sub-CZ Split	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	Option=Void	source_count	source_weight	sampling_probability
1A - FL	Mobile Home	0-1499	Central AC	0	0	0	4.66794e-05	0.00203169	0.997922	0	0	0.737925	2999.83	7.16156e-05
1A - FL	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.22225	4589.09	0.00013555
1A - FL	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.22225	555.629	2.16742e-06
1A - FL	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	0.0852192	366.128	1.28146e-05
1A - FL	Mobile Home	0-1499	Room AC	0	0.0749635	0.0850279	0.265207	0.00425548	0.570547	0	0	0.925208	4292.23	4.02499e-05
1A - FL	Mobile Home	1500-2499	Central AC	0	0	0	0.000184831	0.00500453	0.994811	0	0	0.518465	1978.34	1.66442e-05
1A - FL	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.40987	4857.28	3.18827e-05
1A - FL	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.40987	588.101	3.30371e-07
1A - FL	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.0226083	88.7735	3.56234e-06
1A - FL	Mobile Home	1500-2499	Room AC	0	0.169743	0.137731	0.344551	0.0137846	0.33419	0	0	0.136156	559.972	8.11181e-06
1A - FL	Mobile Home	2500-3999	Central AC	0	0	0	0.000444749	0.00919181	0.990363	0	0	0.240995	889.275	1.46764e-06
