Dependency=Geometry Building Type RECS	Dependency=State	Option=100% CFL	Option=100% Incandescent	Option=100% LED	source_count	source_weight	sampling_probability
Mobile Home	AK	0.251315	0.356196	0.392489	12	11505.9	0.000117353
Multi-Family with 2 - 4 Units	AK	0.232485	0.263154	0.504361	24	25745.3	0.000289216
Multi-Family with 5+ Units	AK	0.179434	0.380985	0.439582	29	32224.1	0.000270006
Single-Family Attached	AK	0.15001	0.262691	0.5873	51	28589	0.000168698
Single-Family Detached	AK	0.188711	0.163249	0.64804	195	159129	0.00146102
Mobile Home	AL	0.157289	0.361377	0.481334	33	255471	0.00223152
Multi-Family with 2 - 4 Units	AL	0.15814	0.419867	0.421993	18	152559	0.000817229
Multi-Family with 5+ Units	AL	0.240204	0.313543	0.446253	13	150364	0.00193199
Single-Family Attached	AL	0.153903	0.564033	0.282064	11	36596.5	0.000255252
Single-Family Detached	AL	0.195714	0.264606	0.53968	167	1.30542e+06	0.0112448
Mobile Home	AR	0.258604	0.262315	0.479081	24	122303	0.00121096
Multi-Family with 2 - 4 Units	AR	0.260396	0.326563	0.41304	22	38448	0.000664743
Multi-Family with 5+ Units	AR	0.239897	0.302136	0.457967	14	109401	0.00100728
Single-Family Attached	AR	0.17919	0.367102	0.453708	15	34909.8	0.000162811
Single-Family Detached	AR	0.234428	0.276437	0.489134	207	838570	0.00696047
Mobile Home	AZ	0.19505	0.219686	0.585264	38	240123	0.00232999
Multi-Family with 2 - 4 Units	AZ	0.277761	0.410457	0.311781	14	125272	0.00103775
Multi-Family with 5+ Units	AZ	0.235226	0.34674	0.418034	48	394308	0.00344385
Single-Family Attached	AZ	0.235868	0.240374	0.523758	43	116295	0.00105258
Single-Family Detached	AZ	0.231716	0.20596	0.562323	352	1.79961e+06	0.0138697
Mobile Home	CA	0.287931	0.213356	0.498713	38	458610	0.00394523
Multi-Family with 2 - 4 Units	CA	0.315241	0.173101	0.511658	70	1.09e+06	0.00829829
Multi-Family with 5+ Units	CA	0.332574	0.225257	0.442169	207	3.07818e+06	0.0244432
Single-Family Attached	CA	0.276467	0.22017	0.503362	136	975642	0.00728681
Single-Family Detached	CA	0.258176	0.195874	0.54595	701	7.57845e+06	0.0598025
Mobile Home	CO	0.151063	0.263066	0.585871	18	105691	0.000704037
Multi-Family with 2 - 4 Units	CO	0.178258	0.536585	0.285156	10	109607	0.000853039
Multi-Family with 5+ Units	CO	0.226163	0.291617	0.48222	55	463305	0.00361378
Single-Family Attached	CO	0.214525	0.172219	0.613257	34	146944	0.00120291
Single-Family Detached	CO	0.238423	0.235634	0.525943	243	1.43431e+06	0.0106704
Mobile Home	CT	0.293823	0.247383	0.458793	33	16649.3	8.73705e-05
Multi-Family with 2 - 4 Units	CT	0.248563	0.203646	0.547791	24	198381	0.00186688
Multi-Family with 5+ Units	CT	0.209862	0.310956	0.479182	36	254307	0.00203856
Single-Family Attached	CT	0.280564	0.230948	0.488488	30	76301.4	0.000600842
Single-Family Detached	CT	0.206644	0.221509	0.571847	201	836258	0.00654949
Mobile Home	DC	0.193822	0.235807	0.57037	60	0	0
Multi-Family with 2 - 4 Units	DC	0.180762	0.313999	0.505239	20	27163	0.000228834
Multi-Family with 5+ Units	DC	0.255433	0.246749	0.497818	120	202366	0.00122199
Single-Family Attached	DC	0.193822	0.235807	0.57037	60	60167.5	0.000559636
Single-Family Detached	DC	0.244031	0.280854	0.475115	21	26756.1	0.000277482
Mobile Home	DE	0.16449	0.327251	0.508259	13	39704.3	0.000243975
Multi-Family with 2 - 4 Units	DE	0.218956	0.308574	0.47247	17	16099.9	0.000118927
